app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,target,income_to_age_ratio,employment_ratio,age_group,income_group
131.0,1.0,0.0,28-Apr-20,1.0,4,18.0,,1,,,,,,15.0,2.0,53.0,,0.024618474,55.578125,,0.0,,4,-1.0,2,0.05263157894736842,,18-25,very_low
-145.0,,,28-Apr-20,1.0,2,21.0,0.0,1,1.0,500.0,1.0,,50.0,15.0,5.0,7.0,496.0,0.0,63.2265625,2.0,0.0,,4,0.0,1,0.045454545454545456,0.0,18-25,very_low
143.0,0.0,1.0,28-Apr-20,0.0,14,23.0,1.0,1,,,,,,,,13.0,,0.032595161,40.953125,,0.0,,4,-1.0,0,0.0,0.16666666666666666,18-25,very_low
-130.0,,,28-Apr-20,1.0,3,17.0,0.0,1,,,,,,,11.0,,,0.0,60.0546875,,0.0,,4,-1.0,1,0.05555555555555555,,18-25,very_low
151.0,1.0,0.0,28-Apr-20,0.0,1,19.0,0.0,1,,150.0,9.0,2.0,,7.0,3.0,23.0,,0.098250776,83.9375,1.0,1.0,0.0,2,1.0,2,0.0,0.0,18-25,very_low
-148.0,,,28-Apr-20,0.0,1,18.0,0.0,1,1.0,,2.0,3.0,,12.0,0.0,59.0,,0.063940404,48.0234375,1.0,2.0,0.0,2,-1.0,1,0.0,0.0,18-25,very_low
162.0,1.0,0.0,29-Apr-20,1.0,2,20.0,,1,,,,,,15.0,15.0,7.0,,0.065083901,64.1875,,0.0,,4,-1.0,2,0.047619047619047616,,18-25,very_low
-164.0,,,29-Apr-20,0.0,12,31.0,2.0,0,,1450.0,10.0,,0.0,,,1.0,402.0,0.0,83.265625,1.0,0.0,,4,1.0,1,0.0,0.14285714285714285,26-35,very_low
-178.0,,,29-Apr-20,1.0,10,18.0,,1,,,33.0,1.0,,27.0,0.0,8.0,,0.0,46.3359375,,0.0,0.0,2,-1.0,1,0.05263157894736842,,18-25,very_low
-193.0,,,29-Apr-20,0.0,12,40.0,1.0,0,,39100.0,10.0,1.0,0.0,,7.0,,3596.0,0.034630702,48.53125,1.0,1.0,1246.0,2,4.0,1,0.0,0.043478260869565216,36-45,very_low
-165.0,,,29-Apr-20,1.0,14,18.0,0.0,1,,,,,,,0.0,,,0.0,82.015625,1.0,0.0,,4,0.0,1,0.05263157894736842,0.0,18-25,very_low
180.0,1.0,0.0,29-Apr-20,0.0,3,36.0,1.0,0,,4700.0,17.0,,,,1.0,,124.0,0.027851643,80.25,,0.0,,4,-1.0,2,0.0,0.05263157894736842,36-45,very_low
-195.0,,,29-Apr-20,0.0,3,20.0,2.0,1,,,,,,26.0,2.0,3.0,,0.0,70.1875,,0.0,,4,-1.0,1,0.0,0.6666666666666666,18-25,very_low
-168.0,,,29-Apr-20,200.0,2,18.0,,1,,,,,,22.0,0.0,7.0,,0.044353992,31.1640625,1.0,0.0,,4,0.0,1,10.526315789473685,,18-25,very_low
160.0,0.0,1.0,29-Apr-20,0.0,1,30.0,0.0,2,,,,,,,,,,0.0,,,0.0,,4,-1.0,0,0.0,0.0,26-35,very_low
191.0,0.0,1.0,29-Apr-20,2.0,3,20.0,1.0,1,1.0,750.0,2.0,1.0,271.0,1.0,0.0,13.0,0.0,0.203831313,72.171875,1.0,0.0,0.0,2,0.0,0,0.09523809523809523,0.3333333333333333,18-25,very_low
