app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date
157,1,0,29-Apr-20,0,SO,24,1,P,.,.,.,.,.,.,.,.,.,0,44.265625,.,0,.,5,-1,19/02/2035
158,1,0,29-Apr-20,0,SO,18,.,P,.,.,39,1,.,19,.,24,.,0.053124871,74.8125,.,0,0,3,-1,19/02/2035
-169,.,.,29-Apr-20,0,SO,20,0,P,.,.,13,2,0,12,2,24,.,0.134957249,68.65625,1,1,0,3,-1,19/02/2035
194,1,0,29-Apr-20,0,SC,18,0,P,.,.,7,1,.,23,.,76,.,0.106758389,67.328125,.,0,.,5,-1,19/02/2035
-198,.,.,30-Apr-20,660,SA,25,.,P,.,.,18,.,.,.,.,3,.,0.014480763,77.171875,.,0,.,5,-1,20/02/2035
213,1,0,30-Apr-20,0,SC,20,2,P,1,6000,6,2,30,14,2,29,.,0.12147477,64.234375,2,1,1950,3,0,20/02/2035
-203,.,.,30-Apr-20,0,SN,21,1,P,.,.,.,.,.,2,2,2,.,0.110603439,47.3046875,.,0,.,5,-1,20/02/2035
-216,.,.,30-Apr-20,1,SD,40,2,H,.,18300,11,2,0,.,4,.,7006,0.010960884,35.7421875,.,0,0,3,4,20/02/2035
208,1,0,30-Apr-20,0,SC,18,0,P,.,150,7,1,.,1,1,11,1,0,53.1015625,.,0,0,3,-1,20/02/2035
-222,.,.,30-Apr-20,500,SO,21,.,P,.,350,25,3,0,17,.,13,0,0.102890059,70.140625,1,3,1034,3,-1,20/02/2035
-215,.,.,30-Apr-20,700,SO,19,0,P,.,500,9,4,254,.,0,.,681,0.319299262,64.84375,1,1,0,1,2,20/02/2035
-218,.,.,30-Apr-20,0,SO,20,.,,.,.,.,.,.,.,.,8,.,0.074684916,21.703125,.,0,.,5,-1,20/02/2035
210,1,0,30-Apr-20,0,SC,20,1,R,.,.,.,.,.,.,.,.,.,0.220615609,37.4609375,.,0,.,5,-1,20/02/2035
-201,.,.,30-Apr-20,640,SC,29,0,R,.,.,26,1,.,.,.,.,.,0.053808566,47.21875,.,0,0,3,-1,20/02/2035
-223,.,.,30-Apr-20,0,SA,23,0,P,.,1850,14,2,30,24,4,49,992,0,59.1015625,1,1,0,3,-1,20/02/2035
219,1,0,30-Apr-20,1,SD,23,.,,.,.,.,.,.,.,.,.,.,0,28.2265625,.,0,.,5,-1,20/02/2035
-199,.,.,30-Apr-20,1,SM,22,4,R,.,.,58,1,.,8,4,31,.,0,63.5546875,1,1,827,3,3,20/02/2035
212,1,0,30-Apr-20,300,SK,21,.,R,.,.,.,.,.,.,.,.,.,0.008786049,47.2421875,.,0,.,5,-1,20/02/2035
217,1,0,30-Apr-20,1,SO,23,.,R,.,.,.,.,.,.,.,.,.,0.312628728,51.4375,.,0,.,5,-1,20/02/2035
